Real;Evento;año;mes;Tipo de Evento;Origen;N.º Cámara;Cámaras;Direccion 0;Direccion;Resultado;CIUDAD;PROVINCIA;PAIS;ENLACE;Longitud y Latitud;estado_coordenada
18928;1;2024;7;Robo/Hurto Automotor;CATE 911;5390;SIN;La Rioja;Vieytes;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;La Rioja y Vieytes ;-57.56778,-38.01829;ok
18930;1;2024;7;Robo/Hurto Automotor;CATE 911;5391;SIN;Acha;Ricardo Guiraldes;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Acha y Ricardo Guiraldes ;-57.5678,-38.05929;ok
18935;1;2024;7;Robo/Hurto Automotor;CATE 911;5392;SIN;Gaboto;Yapeyu;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Gaboto y Yapeyu ;-57.61419,-37.98916;ok
18971;1;2024;7;Robo/Hurto Automotor;CATE 911;5393;SIN;Casildo Villar;Genova;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Casildo Villar y Genova ;-57.59195,-38.03469;corregido_paso1_cruce_interno
18980;1;2024;7;Robo/Hurto Automotor;CATE 911;5394;SIN;Ayolas;Eduardo Peralta Ramos;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Ayolas y Eduardo Peralta Ramos ;-57.59823,-38.00644;ok
18983;1;2024;7;Robo/Hurto Automotor;CATE 911;226;CON;Avenida Centeno Norberto O.;Lebensohn Moises;No Asiste;Mar del Plata;Buenos Aires;Argentina;Avenida Centeno Norberto O. y Lebensohn Moises ;-57.6138226,-38.008918;PENDIENTE_GEOCODIFICAR
18987;1;2024;7;Robo/Hurto Automotor;CATE 911;449;CON;Avenida Constitucion;Marcos Sastre;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Constitucion y Marcos Sastre ;-57.5576392,-37.963446;corregido_automatico
19004;1;2024;7;Robo/Hurto Automotor;CATE 911;5395;SIN;Acha;Ricardo Guiraldes;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Acha y Ricardo Guiraldes ;-57.56787,-38.05929;ok
19027;1;2024;7;Robo/Hurto Automotor;CATE 911;5396;SIN;Avenida Vertiz;Talcahuano;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Vertiz y Talcahuano ;-57.57577,-38.03117;ok
19030;1;2024;7;Robo/Hurto Automotor;CATE 911;5397;SIN;Calabria;Florencio Sanchez;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Calabria y Florencio Sanchez ;-57.59164,-38.03751;ok
19031;1;2024;7;Robo/Hurto Automotor;CATE 911;250;CON;Scaglia Lorenzo;Los Granados;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Scaglia Lorenzo y Los Granados ;-57.54271180670509,-37.92387769437894;corregido_manual
19033;1;2024;7;Robo/Hurto Automotor;CATE 911;5398;SIN;Jose Hernandez;Leonardo Rosales;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jose Hernandez y Leonardo Rosales ;-57.5658696,-38.0424843;corregido_automatico
19034;1;2024;7;Robo/Hurto Automotor;CATE 911;5399;SIN;Avenida Pedro Luro;Salta;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Pedro Luro y Salta ;-57.55338,-37.99499;ok
19038;1;2024;7;Robo/Hurto Automotor;CATE 911;5400;SIN;Soler Miguel;Juana Azurduy;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Soler Miguel y Juana Azurduy ;-57.5650424,-38.014970;PENDIENTE_GEOCODIFICAR
19040;1;2024;7;Robo/Hurto Automotor;CATE 911;5401;SIN;Juan B. Goñi;Juan Gutenberg;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juan B. Goñi y Juan Gutenberg ;-57.61384,-38.02205;ok
19047;1;2024;7;Robo/Hurto Automotor;CATE 911;259;CON;Matias Strobel;Manuela Pedraza;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Matias Strobel y Manuela Pedraza ;-57.5556865,-37.973513;corregido_automatico
19053;1;2024;7;Robo/Hurto Automotor;COM;112;CON;General 07 Argentino Roca;Leandro N. Alem;Detencion;Mar del Plata;Buenos Aires;Argentina;General 07 Argentino Roca y Leandro N. Alem ;-57.53324,-38.02436;ok
19064;1;2024;7;Robo/Hurto Automotor;CATE 911;304;CON;French Domingo;Avenida Fermin Errea;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;French Domingo y Avenida Fermin Errea ;-57.6266578,-37.957950;PENDIENTE_GEOCODIFICAR
19105;1;2024;7;Robo/Hurto Automotor;ANILLO DIGITAL;130;CON;Avenida Constitucion;Ruta Nacional N 2;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Avenida Constitucion y Ruta Nacional N 2 ;-57.5801545,-37.956823;PENDIENTE_GEOCODIFICAR
19126;1;2024;7;Robo/Hurto Automotor;CATE 911;147;CON;Azcuenaga;Santiago Del Estero;Asiste Unidad Sanitaria y Traslada;Mar del Plata;Buenos Aires;Argentina;Azcuenaga y Santiago Del Estero ;-57.5640132,-38.022355;corregido_automatico
19132;1;2024;7;Robo/Hurto Automotor;CATE 911;5402;SIN;San Lorenzo;España;No Asiste;Mar del Plata;Buenos Aires;Argentina;San Lorenzo y España ;-57.5657233,-38.0068092;corregido_automatico
19143;1;2024;7;Robo/Hurto Automotor;CATE 911;5403;SIN;Herminia Brumana;Hipolito Bouchard;No Asiste;Mar del Plata;Buenos Aires;Argentina;Herminia Brumana y Hipolito Bouchard ;-57.59734,-38.01743;ok
19172;1;2024;7;Robo/Hurto Automotor;CATE 911;631;CON;Necochea;Malvinas;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Necochea y Malvinas ;-57.57227,-37.9729;ok
19175;1;2024;7;Robo/Hurto Automotor;CATE 911;5404;SIN;Vieytes;General Jose Maria Paz;LPR - Vehiculo Interceptado;Mar del Plata;Buenos Aires;Argentina;Vieytes y General Jose Maria Paz ;-57.54375,-38.03036;ok
19176;1;2024;7;Robo/Hurto Automotor;CATE 911;5405;SIN;Puan;General Rafael De Riego;LPR - Vehiculo Interceptado;Mar del Plata;Buenos Aires;Argentina;Puan y General Rafael De Riego ;-57.5823759,-38.0393415;corregido_automatico
19208;1;2024;7;Robo/Hurto Automotor;CATE 911;5406;SIN;Chubut;Avenida Constitucion;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Chubut y Avenida Constitucion ;-57.55156,-37.96663;ok
19214;1;2024;7;Robo/Hurto Automotor;CATE 911;5407;SIN;Bolivia;Chacabuco;LPR - Se realiza seguimiento del vehiculo;Mar del Plata;Buenos Aires;Argentina;Bolivia y Chacabuco ;-57.60125,-37.96157;ok
19215;1;2024;7;Robo/Hurto Automotor;CATE 911;5408;SIN;Herminia Brumana;De La Plaza Fortunato;LPR - Se realiza seguimiento del vehiculo;Mar del Plata;Buenos Aires;Argentina;Herminia Brumana y De La Plaza Fortunato ;-57.60235,-38.02155;ok
19244;1;2024;7;Robo/Hurto Automotor;CATE 911;130;CON;Miguel De Unamuno;Concepcion Arenal;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Miguel De Unamuno y Concepcion Arenal ;-57.5695978,-37.9608877;corregido_automatico
19257;1;2024;7;Robo/Hurto Automotor;CATE 911;5409;SIN;Gaboto;Juan N. Fernandez;No Asiste;Mar del Plata;Buenos Aires;Argentina;Gaboto y Juan N. Fernandez ;-57.6045725,-37.9964907;corregido_automatico
19267;1;2024;7;Robo/Hurto Automotor;CATE 911;623;CON;Avenida Juan B. Justo;Francisco Saverio Scarpatti;No Asiste;Mar del Plata;Buenos Aires;Argentina;Avenida Juan B. Justo y Francisco Saverio Scarpatti ;-57.60550214471868,-37.99307984280658;corregido_manual
19269;1;2024;7;Robo/Hurto Automotor;CATE 911;5410;SIN;Martin Miguel De Guemes;Vieytes;No Asiste;Mar del Plata;Buenos Aires;Argentina;Martin Miguel De Guemes y Vieytes ;-57.55075,-38.02683;ok
19305;1;2024;7;Robo/Hurto Automotor;CATE 911;5411;SIN;Avenida Juan Hector Jara;Saavedra Cornelio;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Juan Hector Jara y Saavedra Cornelio ;-57.58335,-38.00236;ok
19308;1;2024;7;Robo/Hurto Automotor;CATE 911;5412;SIN;Napoles;Ciudad De Dolores;Asiste Unidad Sanitaria y Traslada;Mar del Plata;Buenos Aires;Argentina;Napoles y Ciudad De Dolores ;-57.59284,-38.03272;ok
19320;1;2024;7;Robo/Hurto Automotor;CATE 911;5413;SIN;David Ortega Presbitero;Once de 09;LPR - Se realiza seguimiento del vehiculo;Mar del Plata;Buenos Aires;Argentina;David Ortega Presbitero y Once de 09 ;-57.58682,-37.97351;ok
19330;1;2024;7;Robo/Hurto Automotor;CATE 911;5414;SIN;Labarden;Mario Bravo;No Asiste;Mar del Plata;Buenos Aires;Argentina;Labarden y Mario Bravo ;-57.5650424,-38.014970;PENDIENTE_GEOCODIFICAR
19355;1;2024;7;Robo/Hurto Automotor;CATE 911;527;CON;Arturo Alio;Tres de 02;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Arturo Alio y Tres de 02 ;-57.59261,-37.97193;PENDIENTE_GEOCODIFICAR
19372;1;2024;7;Robo/Hurto Automotor;CATE 911;5415;SIN;San Lorenzo;Primero de Mayo;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;San Lorenzo y Primero de Mayo ;-57.58183,-37.99867;ok
19373;1;2024;7;Robo/Hurto Automotor;CATE 911;5416;SIN;Roca 07;Jose M. Calaza Coronel;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Roca 07 y Jose M. Calaza Coronel ;-57.61055,-37.98524;PENDIENTE_GEOCODIFICAR
19393;1;2024;7;Robo/Hurto Automotor;CATE 911;393;CON;San Juan;Primera Junta;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;San Juan y Primera Junta ;-57.57467,-38.00567;corregido_paso1_cruce_interno
19395;1;2024;7;Robo/Hurto Automotor;CATE 911;582;CON;San Luis;Avenida Pedro Luro;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;San Luis y Avenida Pedro Luro ;-57.54721,-37.9981;corregido_paso1_cruce_interno
19400;1;2024;7;Robo/Hurto Automotor;CATE 911;5417;SIN;Jose Marmol;Concepcion Arenal;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jose Marmol y Concepcion Arenal ;-57.54552,-37.97308;ok
19454;1;2024;7;Robo/Hurto Automotor;CATE 911;5419;SIN;Jose Marti;Lebensohn Moises;No Asiste;Mar del Plata;Buenos Aires;Argentina;Jose Marti y Lebensohn Moises ;-57.57348,-38.04474;ok
19473;1;2024;7;Robo/Hurto Automotor;CATE 911;22;CON;Grecia;Avenida Colon;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Grecia y Avenida Colon ;-57.5973624,-37.979588;corregido_automatico
19475;1;2024;7;Robo/Hurto Automotor;CATE 911;5420;SIN;Juramento;Napoles;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juramento y Napoles ;-57.57082,-38.04933;ok
19483;1;2024;7;Robo/Hurto Automotor;CATE 911;5421;SIN;Buenos Aires;Brown Almirante;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Buenos Aires y Brown Almirante ;-57.54583,-38.00687;ok
19485;1;2024;7;Robo/Hurto Automotor;CATE 911;5422;SIN;Florisbelo Acosta;Dardo Rocha;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Florisbelo Acosta y Dardo Rocha ;-57.54418,-37.97488;ok
19491;1;2024;7;Robo/Hurto Automotor;CATE 911;5423;SIN;Buenos Aires;San Lorenzo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Buenos Aires y San Lorenzo ;-57.5516,-38.01396;ok
19494;1;2024;7;Robo/Hurto Automotor;CATE 911;5424;SIN;Rivadavia;Avenida Patricio Peralta Ramos;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Rivadavia y Avenida Patricio Peralta Ramos ;-57.54222,-38.00311;ok
19501;1;2024;7;Robo/Hurto Automotor;CATE 911;5425;SIN;Falucho;Alsina;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Falucho y Alsina ;-57.54049,-38.01067;ok
19502;1;2024;7;Robo/Hurto Automotor;CATE 911;5426;SIN;San Martin;Salta;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;San Martin y Salta ;-57.55405,-37.99585;ok
19510;1;2024;7;Robo/Hurto Automotor;CATE 911;578;CON;Avenida Patricio Peralta Ramos;Alsina;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Patricio Peralta Ramos y Alsina ;-57.5385043,-38.0082973;corregido_automatico
19518;1;2024;7;Robo/Hurto Automotor;CATE 911;17;CON;Tripulantes Del Fournier;Carlos Gardel;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Tripulantes Del Fournier y Carlos Gardel ;-57.62209,-38.00264;ok
19520;1;2024;7;Robo/Hurto Automotor;CATE 911;5427;SIN;14 De julio;Matheu Domingo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;45852 y Matheu Domingo ;-57.57163187596809,-38.01036314103024;ok
19533;1;2024;7;Robo/Hurto Automotor;CATE 911;5428;SIN;Almafuerte;Dorrego;LPR - Se realiza seguimiento del vehiculo;Mar del Plata;Buenos Aires;Argentina;Almafuerte y Dorrego ;-57.573856402954156,-38.0114471972494;ok
19563;1;2024;7;Robo/Hurto Automotor;CATE 911;75;CON;Avenida Vertiz;Bermejo;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Avenida Vertiz y Bermejo ;-57.554795,-38.046970;PENDIENTE_GEOCODIFICAR
19580;1;2024;7;Robo/Hurto Automotor;CATE 911;582;CON;Avenida Pedro Luro;San Luis;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Pedro Luro y San Luis ;-57.54721,-37.9981;corregido_paso1_cruce_interno
19584;1;2024;7;Robo/Hurto Automotor;CATE 911;582;CON;Avenida Pedro Luro;San Luis;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Pedro Luro y San Luis ;-57.54721,-37.9981;corregido_paso1_cruce_interno
19586;1;2024;7;Robo/Hurto Automotor;CATE 911;5429;SIN;Saavedra Cornelio;Jujuy;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Saavedra Cornelio y Jujuy ;-57.567262145282875,-38.01031285379153;ok
19589;1;2024;7;Robo/Hurto Automotor;CATE 911;5430;SIN;Calle 4;Calle 445;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Calle 4 y Calle 445 ;-57.57971330479934,-38.106678755798555;ok
19590;1;2024;7;Robo/Hurto Automotor;CATE 911;5431;SIN;Castelli Juan Jose;Salta;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Castelli Juan Jose y Salta ;-57.56182298946126,-38.00524323389292;ok
19592;1;2024;7;Robo/Hurto Automotor;CATE 911;5432;SIN;Chacabuco;Avenida Independencia;No Asiste;Mar del Plata;Buenos Aires;Argentina;Chacabuco y Avenida Independencia ;-57.547080475969146,-37.988855813256244;ok
19598;1;2024;7;Robo/Hurto Automotor;CATE 911;5433;SIN;Don Bosco;Almafuerte;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Don Bosco y Almafuerte ;-57.58381874528303,-38.00641229802629;ok
19599;1;2024;7;Robo/Hurto Automotor;CATE 911;5434;SIN;Ayacucho;España;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Ayacucho y España ;-57.5494550741196,-37.98644932809217;ok
19606;1;2024;7;Robo/Hurto Automotor;CATE 911;5435;SIN;Tierra Del Fuego;San Martin;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Tierra Del Fuego y San Martin ;-57.57818068946221,-37.98350554522183;ok
19610;1;2024;7;Robo/Hurto Automotor;CATE 911;5436;SIN;Salvador Viva;Avenida Juan B. Justo;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Salvador Viva y Avenida Juan B. Justo ;-57.655010089463566,-37.95535945906812;ok
19670;1;2024;7;Robo/Hurto Automotor;CATE 911;146;CON;Avenida Juan B. Justo;Mitre Bartolome;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Juan B. Justo y Mitre Bartolome ;-57.56854,-38.02104;ok
19679;1;2024;7;Robo/Hurto Automotor;CATE 911;5437;SIN;Bosch Elisa;Tripulantes Del Fournier;No Asiste;Mar del Plata;Buenos Aires;Argentina;Bosch Elisa y Tripulantes Del Fournier ;-57.56242400828298,-38.04636389160204;ok
19692;1;2024;7;Robo/Hurto Automotor;CATE 911;390;CON;Hernandarias;Jacinto Peralta Ramos;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Hernandarias y Jacinto Peralta Ramos ;-57.57864,-38.02509;corregido_paso1_cruce_interno
19698;1;2024;7;Robo/Hurto Automotor;CATE 911;301;CON;Leonardo Rosales;Jose Hernandez;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Leonardo Rosales y Jose Hernandez ;-57.5658696,-38.0424843;corregido_automatico
19699;1;2024;7;Robo/Hurto Automotor;CATE 911;5438;SIN;Irala;Friuli;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Irala y Friuli ;-57.58024324713185,-38.0207310229431;ok
19701;1;2024;7;Robo/Hurto Automotor;CATE 911;44;CON;Reforma Universitaria;Avenida Juan B. Justo;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Reforma Universitaria y Avenida Juan B. Justo ;-57.5924131,-38.0029428;corregido_automatico
19702;1;2024;7;Robo/Hurto Automotor;CATE 911;554;CON;Santiago Del Estero;Manuel Quintana;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Santiago Del Estero y Manuel Quintana ;-57.5600728,-38.017507;ok
19703;1;2024;7;Robo/Hurto Automotor;CATE 911;5439;SIN;Casildo Villar;Jacinto Peralta Ramos;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Casildo Villar y Jacinto Peralta Ramos ;nan,nan;vacio
19706;1;2024;7;Robo/Hurto Automotor;CATE 911;5440;SIN;Corbeta Uruguay;Fernando Bonnet;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Corbeta Uruguay y Fernando Bonnet ;-57.54806258219644,-38.09035808418164;ok
19709;1;2024;7;Robo/Hurto Automotor;CATE 911;5441;SIN;Ayacucho;Dorrego;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Ayacucho y Dorrego ;-57.552477931790904,-37.98500014866636;ok
19712;1;2024;7;Robo/Hurto Automotor;CATE 911;559;CON;La Rioja;Formosa;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;La Rioja y Formosa ;-57.5650797,-38.0149776;corregido_automatico
19719;1;2024;7;Robo/Hurto Automotor;CATE 911;669;CON;Justo Santa Maria De Oro;Diagonal Estados Unidos De Norteamerica;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Justo Santa Maria De Oro y Diagonal Estados Unidos De Norteamerica ;-57.5564,-38.09194;ok
19737;1;2024;7;Robo/Hurto Automotor;CATE 911;284;CON;Tomas Alva Edison;Federico Garcia Lorca;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Tomas Alva Edison y Federico Garcia Lorca ;-57.5663443,-38.056568;PENDIENTE_GEOCODIFICAR
19746;1;2024;7;Robo/Hurto Automotor;CATE 911;5442;SIN;Remedios De Escalada;Ituzaingo;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Remedios De Escalada y Ituzaingo ;-57.58488053179162,-37.967452091894565;ok
19761;1;2024;7;Robo/Hurto Automotor;CATE 911;427;CON;El Cano;Marcelino Echegaray;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;El Cano y Marcelino Echegaray ;-57.60889,-37.99449;ok
19777;1;2024;7;Robo/Hurto Automotor;CATE 911;5443;SIN;Brown Almirante;Alsina;No Asiste;Mar del Plata;Buenos Aires;Argentina;Brown Almirante y Alsina ;-57.539872474118425,-38.00971971225034;ok
19787;1;2024;7;Robo/Hurto Automotor;CATE 911;5444;SIN;Brown Almirante;Alsina;No Asiste;Mar del Plata;Buenos Aires;Argentina;Brown Almirante y Alsina ;-57.539872474118425,-38.00971971225034;ok
19796;1;2024;7;Robo/Hurto Automotor;CATE 911;752;CON;Avenida Pedro Luro;Santa Fe;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Pedro Luro y Santa Fe ;-57.5442049,-37.9996299;corregido_automatico
19797;1;2024;7;Robo/Hurto Automotor;CATE 911;231;CON;Arturo Alio;Garay Juan De;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Arturo Alio y Garay Juan De ;-57.60214520280784,-37.98391298226326;corregido_manual
19800;1;2024;7;Robo/Hurto Automotor;CATE 911;46;CON;Avenida Juan B. Justo;España;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Avenida Juan B. Justo y España ;-57.57398140480333,-38.01681363193937;corregido_paso1_cruce_interno
19802;1;2024;7;Robo/Hurto Automotor;CATE 911;5445;SIN;Avenida Vertiz;Juana Manso;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Avenida Vertiz y Juana Manso ;-57.57922223178906,-38.028341192863024;ok
19803;1;2024;7;Robo/Hurto Automotor;CATE 911;362;CON;Miguel De Andrea Monseñor;Willian C Morris;No Asiste;Mar del Plata;Buenos Aires;Argentina;Miguel De Andrea Monseñor y Willian C Morris ;-57.54687,-38.07332;ok
19812;1;2024;7;Robo/Hurto Automotor;CATE 911;5446;SIN;Viña Del Mar;Guanahani;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Viña Del Mar y Guanahani ;nan,nan;vacio
19814;1;2024;7;Robo/Hurto Automotor;CATE 911;5447;SIN;Willian C Morris;Bermejo;No Asiste;Mar del Plata;Buenos Aires;Argentina;Willian C Morris y Bermejo ;-57.566267775965926,-38.0591396100679;ok
19838;1;2024;7;Robo/Hurto Automotor;CATE 911;324;CON;Polonia;De La Plaza Fortunato;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Polonia y De La Plaza Fortunato ;-57.60364744713199,-38.02044628657751;corregido_paso1_cruce_interno
19857;1;2024;7;Robo/Hurto Automotor;CATE 911;5448;SIN;Moreno;Portugal;LPR - Se realiza seguimiento del vehiculo;Mar del Plata;Buenos Aires;Argentina;Moreno y Portugal ;-57.61714871829869,-37.967125140314735;ok
19870;1;2024;7;Robo/Hurto Automotor;CATE 911;448;CON;Esteban Gascon;Francia;No Asiste;Mar del Plata;Buenos Aires;Argentina;Esteban Gascon y Francia ;-57.57694,-37.99448;PENDIENTE_GEOCODIFICAR
19872;1;2024;7;Robo/Hurto Automotor;CATE 911;5449;SIN;Avenida Fermin Errea;Rio Negro;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Avenida Fermin Errea y Rio Negro ;-57.6076473317925,-37.94933291018236;ok
19873;1;2024;7;Robo/Hurto Automotor;CATE 911;5450;SIN;Luciano Arrue;Ayacucho;No Asiste;Mar del Plata;Buenos Aires;Argentina;Luciano Arrue y Ayacucho ;-57.591688689463155,-37.965124469126756;ok
19874;1;2024;7;Robo/Hurto Automotor;CATE 911;50;CON;Avenida Pedro Luro;San Juan;No Asiste;Mar del Plata;Buenos Aires;Argentina;Avenida Pedro Luro y San Juan ;-57.5613755,-37.9909338;corregido_automatico
19876;1;2024;7;Robo/Hurto Automotor;GESTYA;5451;SIN;Justo Santa Maria De Oro;Lituania;No Asiste;Mar del Plata;Buenos Aires;Argentina;Justo Santa Maria De Oro y Lituania ;-57.5521405759646,-38.088630555210095;ok
19886;1;2024;7;Robo/Hurto Automotor;CATE 911;519;CON;Hipolito Yrigoyen;Once de 09;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Hipolito Yrigoyen y Once de 09 ;-57.5478602,-37.995449;PENDIENTE_GEOCODIFICAR
19894;1;2024;7;Robo/Hurto Automotor;CATE 911;5452;SIN;Avenida Juan B. Justo;España;No Asiste;Mar del Plata;Buenos Aires;Argentina;Avenida Juan B. Justo y España ;-57.57398140480333,-38.01681363193937;ok
19895;1;2024;7;Robo/Hurto Automotor;CATE 911;5453;SIN;Hernandarias;Osvaldo Magnasco;No Asiste;Mar del Plata;Buenos Aires;Argentina;Hernandarias y Osvaldo Magnasco ;-57.591616675967835,-38.01517576556661;ok
19897;1;2024;7;Robo/Hurto Automotor;CATE 911;5454;SIN;Avellaneda Nicolas;Alvear;No Asiste;Mar del Plata;Buenos Aires;Argentina;Avellaneda Nicolas y Alvear ;-57.54196407411816,-38.01755622372494;ok
19905;1;2024;7;Robo/Hurto Automotor;CATE 911;5455;SIN;General Rafael De Riego;Ayolas;No Asiste;Mar del Plata;Buenos Aires;Argentina;General Rafael De Riego y Ayolas ;-57.56932738027678,-38.028483315200035;ok
19914;1;2024;7;Robo/Hurto Automotor;CATE 911;5456;SIN;Garay Juan De;Arenales;No Asiste;Mar del Plata;Buenos Aires;Argentina;Garay Juan De y Arenales ;-57.547072460625266,-38.01166501628785;ok
19919;1;2024;7;Robo/Hurto Automotor;CATE 911;332;CON;Avenida Colon;Hector Tarantino;No Asiste;Mar del Plata;Buenos Aires;Argentina;Avenida Colon y Hector Tarantino ;-57.63974,-37.95815;PENDIENTE_GEOCODIFICAR
19941;1;2024;7;Robo/Hurto Automotor;CATE 911;5457;SIN;Sicilia;Roque Saenz Peña;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Sicilia y Roque Saenz Peña ;-57.58310877411707,-38.04248313075018;ok
20022;1;2024;7;Robo/Hurto Automotor;CATE 911;136;CON;Avenida Colon;Mejico;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Colon y Mejico ;-57.57738,-37.98968;ok
20058;1;2024;7;Robo/Hurto Automotor;CATE 911;5458;SIN;Santa Cruz;Victoriano E. Montes;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Santa Cruz y Victoriano E. Montes ;-57.57173106062729,-37.968628617203365;ok
20074;1;2024;7;Robo/Hurto Automotor;CATE 911;306;CON;Avenida Patricio Peralta Ramos;Formosa;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avenida Patricio Peralta Ramos y Formosa ;-57.5346,-38.02982;PENDIENTE_GEOCODIFICAR
20108;1;2024;7;Robo/Hurto Automotor;CATE 911;667;CON;Paseo Victoria Ocampo;Acceso A Escollera Norte;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Paseo Victoria Ocampo y Acceso A Escollera Norte ;-57.5339843,-38.028355;PENDIENTE_GEOCODIFICAR
20123;1;2024;7;Robo/Hurto Automotor;CATE 911;5459;SIN;Mitre Bartolome;Castelli Juan Jose;Asiste Bomberos;Mar del Plata;Buenos Aires;Argentina;Mitre Bartolome y Castelli Juan Jose ;-57.556844235489066,-38.00783242671625;ok
20125;1;2024;7;Robo/Hurto Automotor;CATE 911;5460;SIN;Roque Saenz Peña;Juan Bautista Azopardo;No Asiste;Mar del Plata;Buenos Aires;Argentina;Roque Saenz Peña y Juan Bautista Azopardo ;-57.57324950480276,-38.034225361236196;ok
